/	mainapp.views.index	mainapp:index
/admin/social_django/nonce/	django.contrib.admin.options.changelist_view	admin:social_django_nonce_changelist
/admin/social_django/nonce/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/nonce/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_nonce_change
/admin/social_django/nonce/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_nonce_delete
/admin/social_django/nonce/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_nonce_history
/admin/social_django/nonce/add/	django.contrib.admin.options.add_view	admin:social_django_nonce_add
/admin/social_django/usersocialauth/	django.contrib.admin.options.changelist_view	admin:social_django_usersocialauth_changelist
/admin/social_django/usersocialauth/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/usersocialauth/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_usersocialauth_change
/admin/social_django/usersocialauth/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_usersocialauth_delete
/admin/social_django/usersocialauth/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_usersocialauth_history
/admin/social_django/usersocialauth/add/	django.contrib.admin.options.add_view	admin:social_django_usersocialauth_add
/auth/edit/	authapp.views.edit	authapp:edit
/auth/login/	authapp.views.login	authapp:login
/auth/logout/	authapp.views.logout	authapp:logout
/auth/register/	authapp.views.register	authapp:register
/auth/verify/<email>/<activation_key>/	authapp.views.verify	authapp:verify
/basket/	basketapp.views.basket	basketapp:basket
/basket/add/<int:pk>/	basketapp.views.basket_add	basketapp:basket_add
/basket/edit/<int:pk>/<quantity>/	basketapp.views.basket_edit	basketapp:basket_edit
/basket/remove/<int:pk>/	basketapp.views.basket_remove	basketapp:basket_remove
/complete/<str:backend>/	social_django.views.complete	social:complete
/contact/	mainapp.views.contact	mainapp:contact
/disconnect/<str:backend>/	social_django.views.disconnect	social:disconnect
/disconnect/<str:backend>/<int:association_id>/	social_django.views.disconnect	social:disconnect_individual
/login/<str:backend>/	social_django.views.auth	social:begin
/media/<path>	django.views.static.serve
/myadmin/categories/	adminapp.views.categories	adminapp:categories
/myadmin/category/create/	adminapp.views.CategoryCreate	adminapp:category_create
/myadmin/category/delete/<int:pk>/	adminapp.views.DeleteCategory	adminapp:category_delete
/myadmin/category/update/<int:pk>/	adminapp.views.CategoryUpdate	adminapp:category_update
/myadmin/products/<int:pk>/	adminapp.views.products	adminapp:products
/myadmin/products/create/in_category/<int:pk>/	adminapp.views.ProductCreate	adminapp:product_create
/myadmin/products/delete/<int:pk>/	adminapp.views.product_delete	adminapp:product_delete
/myadmin/products/read/<int:pk>/	adminapp.views.ProductDetail	adminapp:product_read
/myadmin/products/update/<int:pk>/	adminapp.views.product_update	adminapp:product_update
/myadmin/user/create/	adminapp.views.user_create	adminapp:user_create
/myadmin/user/delete/<int:pk>/	adminapp.views.user_delete	adminapp:user_delete
/myadmin/user/update/<int:pk>/	adminapp.views.user_update	adminapp:user_update
/myadmin/users/	adminapp.views.UsersListView	adminapp:users
/orders/	ordersapp.views.OrderListView	ordersapp:list
/orders/complete/<pk>/	ordersapp.views.complete	ordersapp:complete
/orders/create/	ordersapp.views.OrderCreateView	ordersapp:create
/orders/delete/<pk>/	ordersapp.views.OrderDeleteView	ordersapp:delete
/orders/product/<pk>/price/	ordersapp.views.get_product_price	ordersapp:product_price
/orders/read/<pk>/	ordersapp.views.OrderDetailView	ordersapp:read
/orders/update/<pk>/	ordersapp.views.OrderUpdateView	ordersapp:update
/product/<str:slug>/	mainapp.views.product	mainapp:product
/products/	mainapp.views.products	mainapp:products
/products/<str:slug>/	mainapp.views.products	mainapp:categorys
/products/<str:slug>/<int:page>	mainapp.views.products	mainapp:category_paginate
